SYMBOL,p value,p (rank),Fold change,ln(p),Fold (rank),log(fold),which
Fbxl10,0.000681583152006393,568.0,1.18124757919716,-7.2910923010551505,431.0,0.24031137273364175,both
Ube2k,0.000236542348528435,214.0,1.15055517442587,-8.34938330251707,678.0,0.20233016910043417,both
Nkrf,0.00011457615575261,111.0,1.12952435862712,-9.074270840318109,942.0,0.17571538333977996,both
Apaf1,0.000570261309050135,480.0,1.17568699271726,-7.469415865255722,468.0,0.23350401752010083,both
Narg1l,7.19303396459203e-05,79.0,1.11531366404357,-9.539812412200977,1170.0,0.15744950200386645,both
Gclm,0.000171335636373504,152.0,1.14002360680868,-8.67188613939886,807.0,0.18906369901562467,both
Rgs16,0.00111322009373782,862.0,1.1938311735158,-6.800498478046214,340.0,0.2555988312822135,both
1110018G07Rik,0.00181988002947153,1206.0,1.20796839773721,-6.3089846979388975,263.0,0.27258271209330154,both
Aprin,0.00163432211228087,1119.0,1.20449085948553,-6.416527170833272,282.0,0.26842344544443425,both
Lrch4,0.000401852330288666,361.0,1.16295480865319,-7.819425874420616,568.0,0.21779503610720063,both
Sin3a,0.000803838142061308,658.0,1.18101206013929,-7.126112624896207,434.0,0.24002369717732977,both
Pnrc2,0.000465557214368806,410.0,1.16511964579249,-7.6722755593073035,544.0,0.22047811241468632,both
Tle1,0.00493394050801166,2159.0,1.23305840109726,-5.311617318505091,179.0,0.3022411314342576,both
Nat5,0.00321094885914419,1744.0,1.22023214583341,-5.741188790770764,213.0,0.28715564269161237,both
Sqle,0.000739624853331122,617.0,1.17748708262301,-7.2093674552691125,450.0,0.235711233139167,both
Axin1,0.000269876039845629,244.0,1.14751354091179,-8.217547816072793,719.0,0.19851117785784325,both
Myo1e,0.00165627391621614,1132.0,1.19948243126259,-6.403184828354441,309.0,0.26241202673017355,both
Fbxo34,0.00223500366049767,1377.0,1.20793542350448,-6.103512413111383,264.0,0.2725433299278184,both
Fbxo34,0.000776908251930442,644.0,1.17713797543104,-7.160188294452206,458.0,0.2352834323591138,both
Ypel3,0.0028550428638876,1642.0,1.21415432847603,-5.858668422365991,235.0,0.279951811030358,both
Csnk1d,0.0011486562461821,885.0,1.18784952892827,-6.769162501394625,383.0,0.24835209403600841,both
Pias1,0.000801798046656366,656.0,1.17736721428833,-7.128653793956932,452.0,0.2355643591246018,both
Fbxl10,0.000299980744721928,267.0,1.14897589900216,-8.11179226962821,700.0,0.2003485362305581,both
Tbp,0.00011937551123542,113.0,1.12202959246078,-9.033236476572172,1064.0,0.166110726154743,both
Tsc22d2,0.00116071373797888,887.0,1.18736028287818,-6.758720171716879,389.0,0.2477577609739663,both
Aebp2,0.000659395399581708,548.0,1.17088617467129,-7.324187204024156,497.0,0.22760083397838954,both
Prkcz,0.000517773130007004,437.0,1.16374278601402,-7.565973384602413,554.0,0.21877222461409565,both
Dusp7,0.00301846815740636,1690.0,1.21409128935588,-5.803005808928257,237.0,0.2798769040890048,both
Ep400,0.000108880359476426,106.0,1.11804685703861,-9.12526089804288,1133.0,0.16098065240351453,both
Rabgap1,0.000848817875182206,704.0,1.17716155612663,-7.071665911529264,456.0,0.2353123324647575,both
Cdc2a,0.00045484479561464,401.0,1.15905420557385,-7.695554305743327,610.0,0.21294803854793207,both
Exosc1,0.00235402306438481,1426.0,1.20618139249678,-6.051629472237587,270.0,0.2704468843333904,both
Etl4,0.000838896671496503,692.0,1.1763503782006,-7.083423015819857,464.0,0.23431783364753522,both
2310016C08Rik,0.00201604496622454,1282.0,1.20145404792752,-6.206617624346889,301.0,0.2647814706942794,both
D630036H09Rik,0.00109899070951514,853.0,1.18385756916112,-6.813363057176785,412.0,0.24349551962783128,both
Vps33b,0.00294963037173934,1667.0,1.2117146884874,-5.826075414196302,247.0,0.27705004042764486,both
Smarcad1,0.00120956842071862,916.0,1.18551914740516,-6.71749166008994,400.0,0.2455189640796354,both
Mettl3,1.83559779021181e-06,,1.74258475936124,,,,both
1110068E08Rik,1.90921655041087e-05,,2.37119431164399,,,,both
LOC100040592,3.36930276585434e-05,,2.10106988952122,,,,both
Nkrf,3.61957998766815e-05,,2.91302321310067,,,,both
Dab2ip,4.75254283863746e-05,,2.82043676899724,,,,both
Nodal,5.74403130044754e-05,,2.00574182313303,,,,both
Map3k1,6.63608704675189e-05,,2.27426605929752,,,,both
Fbxo31,6.67240541091241e-05,,1.53464475022378,,,,both
Statip1,9.35239655406317e-05,,1.99831942934688,,,,both
2410042D21Rik,0.000109811529699244,,2.20702752571626,,,,both
Zfp532,0.00011888953301864,,4.24659716484595,,,,both
Manba,0.000119650262851323,,2.33469710220227,,,,both
LOC100044968,0.000128572077122246,,3.58413897853419,,,,both
Wdr68,0.000144649535307795,,2.11110763640958,,,,both
Anp32a,0.000155906294093788,,1.54719161638337,,,,both
Kif11,0.000167676533319838,,4.3478309574912,,,,both
Ap1s1,0.000172501854696638,,1.66262812482672,,,,both
Prkcz,0.000174387852338809,,1.85115661354894,,,,both
Setd2,0.000177259019082943,,3.24039496110044,,,,both
Bbc3,0.000179691868599341,,5.52903555677893,,,,both
Vps33b,0.000184615538360799,,1.84760416633606,,,,both
Ppap2b,0.00019591629587612,,1.60267572431376,,,,both
Usp42,0.000216485448067627,,2.31644127099031,,,,both
Nudt4,0.000223364879389343,,2.67934390507617,,,,both
Rin2,0.000252691223892709,,1.78439305258752,,,,both
Stk17b,0.000259076615448994,,2.80654160687267,,,,both
Ddx6,0.000263979724792085,,4.49913825411181,,,,both
D030063E12,0.000266111469973795,,2.24896281340685,,,,both
Ncapd3,0.000330054727922247,,2.18964703165029,,,,both
Setd1a,0.000340770976776206,,2.51099064231853,,,,both
scl000911.1_939,0.000341889390733319,,1.79342961758051,,,,both
Trp53inp1,0.000357241548467502,,1.73225590244198,,,,both
Stk4,0.000360711627993893,,3.29526616898236,,,,both
9330180L10Rik,0.000374582357484554,,2.39706152579912,,,,both
Tsc22d2,0.000386547460440867,,2.44187365604258,,,,both
Schip1,0.00041487617510727,,2.52353495616272,,,,both
Clk2,0.00043209959976187,,4.5802889813571,,,,both
Kbtbd2,0.000461763757630962,,1.63907812837388,,,,both
Ints7,0.00047156586740571,,1.77358239338036,,,,both
Gak,0.000472167132265389,,2.12967714356674,,,,both
Kif20b,0.000510412879092925,,1.75928442017624,,,,both
Dnajb1,0.000528832476273222,,1.64821449677535,,,,both
Apaf1,0.000537459239688509,,2.83232705486138,,,,both
Arhgef3,0.000539934589478985,,2.20134381649759,,,,both
Skp1a,0.00054799422582763,,1.79957961566126,,,,both
4930430F08Rik,0.000568882087564559,,2.5493109947419,,,,both
